#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	Most-prescribed medicare drugs
$215022.98	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952392524 >JEREMY RUSKIN </A>	Clinical Cardiac Electrophysiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	SELZENTRY;XELJANZ;ABT 126;OTHER;BUTRANS
$181918.52	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013991504 >NOOPUR RAJE </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	XGEVA;VELCADE;REVLIMID;IXAZOMIBMLN9708;FARYDAK
$172051.67	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831170620 >RAVI THADHANI </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SOTATERCEPT;OTHER;AURYXIA;FOSRENOL;RENVELA
$164987.91	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962487447 >JAGMEET SINGH </A>	Clinical Cardiac Electrophysiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$150000	<A HREF=https://projects.propublica.org/vital-signs/doctor/1063486454 >LEWIS HOLMES </A>	Clinical Genetics (M.D.)	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER
$147103.82	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841277175 >LEON PTASZEK </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	XELJANZ;OTHER;ELIQUIS
$143947.61	<A HREF=https://projects.propublica.org/vital-signs/doctor/1144255886 >RICHARD CHANNICK </A>	Critical Care Medicine	<span style=color:black>1459 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OPSUMIT MACITENTAN;ADEMPAS;VELETRI EPOPROSTENOL;VENTAVIS ILOPROST;TRACLEER BOSENTAN
$141945.38	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861422966 >KEITH FLAHERTY </A>	Specialist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OTHER;MEKINIST;ZELBORAF;IMLYGIC;KEYTRUDA
$140396.68	<A HREF=https://projects.propublica.org/vital-signs/doctor/1891736112 >GEOFFREY SHEINFELD </A>	Critical Care Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OTHER
$138120.24	<A HREF=https://projects.propublica.org/vital-signs/doctor/1740476191 >ROBERT FULLICK </A>	Orthopaedic Surgery	<span style=color:black>192 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	VIMOVO;ASCEND FLEX;DUEXIS;DENOVO NT;PENNSAID
$133437.88	<A HREF=https://projects.propublica.org/vital-signs/doctor/1588654131 >GEORGE PAPAKOSTAS </A>	Psychiatry	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	BRINTELLIX;VORTIOXETINE;ESCITALOPRAM;KETAMINE HYDROCHLORIDE;VENLAFAXINE
$115034.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1356326441 >JON WARNER </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	AEQUALIS ASCEND FLEX;SIMPLICITI;AEQUALIS PERFORM;AEQULIS REVERSED II
$101569.78	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013043488 >BRIAN EISNER </A>	Urology	<span style=color:black>571 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	THIOLA
$98284.09	<A HREF=https://projects.propublica.org/vital-signs/doctor/1750372884 >MICHAEL JAFF </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$96134.47	<A HREF=https://projects.propublica.org/vital-signs/doctor/1154305571 >FRANCIS HORNICEK </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	GUARDIAN LIMB SALVAGE SYSTEM
$92557.89	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255313334 >EDWIN HEIST </A>	Cardiovascular Disease	<span style=color:black>880 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:red>Speaking payment</span>	XELJANZ;SPIRIVA;TRADJENTA;PRADAXA
$88683.11	<A HREF=https://projects.propublica.org/vital-signs/doctor/1457342024 >DAVID KUTER </A>	Hematology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	NPLATE;ZAVESCA MIGLUSTAT;BLINCYTO;WINRHO SDF;OTHER
$86138.31	<A HREF=https://projects.propublica.org/vital-signs/doctor/1912975921 >RAUL NOGUEIRA </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$81735.21	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922098458 >ROBERT COLVIN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SOLIRIS;PROGRAF;VYVANSE;TYZEKA;NUEDEXTA
$77487.81	<A HREF=https://projects.propublica.org/vital-signs/doctor/1770564130 >MURALI JASTY </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$75862.28	<A HREF=https://projects.propublica.org/vital-signs/doctor/1134186927 >IGNACIO INGLESSIS-AZUAJE </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$75640.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699741769 >ANDREW ZHU </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ELOXATIN;OTHER;LENVIMA;OPDIVO;CYRAMZA
$74883.82	<A HREF=https://projects.propublica.org/vital-signs/doctor/1063482602 >MARC SEMIGRAN </A>	Cardiovascular Disease	<span style=color:black>959 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;CORLANOR
$74587	<A HREF=https://projects.propublica.org/vital-signs/doctor/1851372833 >MARILYN PIKE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$74140	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285615112 >WB YOUNGER </A>	Hematology & Oncology	<span style=color:black>349 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	IBRANCE;KEYTRUDA;OTHER
$72227.44	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538159108 >JEFFREY ENGELMAN </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;ZYKADIA
$68267.58	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235125469 >RAYMOND SMITH </A>	Orthopaedic Trauma	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SALTO TALARIS REG
$67710	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013044452 >HILLARY KELLY </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	KEYTRUDA
$67422.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1225011091 >ROSS LEVINE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	JAKAFI;OTHER;AXERT;DARATUMUMAB;SYLVANT
$66274.92	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295861664 >CHRISTOPHER CUTIE </A>	Urology	<span style=color:black>597 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	XOFIGO
$65851.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538364138 >JOHN CHORBA </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$64564.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1740262484 >JEREMY ABRAMSON </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BLINCYTO;ADCETRIS;JAKAFI;IMBRUVICA;VELCADE
$62996.17	<A HREF=https://projects.propublica.org/vital-signs/doctor/1376517078 >TANUJA CHITNIS </A>	Neurology	<span style=color:black>491 </span>	<span style=color:red>High drug cost</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:green>Nothing unusual</span>	GILENYA;AVONEX;AUBAGIO;ALEMTUZUMAB;REBIF
$59821.53	<A HREF=https://projects.propublica.org/vital-signs/doctor/1811988454 >IK-KYUNG JANG </A>		<span style=color:black>1427 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	BRILINTA
$59651.54	<A HREF=https://projects.propublica.org/vital-signs/doctor/1598746786 >VICTORINE MUSE </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$56913.27	<A HREF=https://projects.propublica.org/vital-signs/doctor/1053346924 >JOHN STONE </A>	Rheumatology	<span style=color:black>266 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ACTEMRA;ORENCIA;OTHER;RITUXAN;LUCENTIS
$55186	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114917986 >JEFFREY GELFAND </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SOLIRIS;ORENITRAM
$54425.76	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861729279 >YOUNG-MIN KWON </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$53689.57	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275523490 >MARC MICHAELSON </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	SUTENT;INLYTA;XTANDI;VOTRIENT;AFINITOR
$52044.72	<A HREF=https://projects.propublica.org/vital-signs/doctor/1760466106 >EDWIN CHOY </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	STIVARGA;IMLYGIC;OTHER;YONDELIS
$51456.85	<A HREF=https://projects.propublica.org/vital-signs/doctor/1427216886 >ELENA RATTI </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$51075.82	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699758227 >CAMILLE KOTTON </A>	Infectious Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OTHER;VALCYTE
$50694.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1871753392 >STEPHEN GARDNER </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BUTRANS;OXYCONTIN;PENNSAID
$50407.71	<A HREF=https://projects.propublica.org/vital-signs/doctor/1871583096 >RICHARD LEE </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	PROVENGE;ZYTIGA
$48665.94	<A HREF=https://projects.propublica.org/vital-signs/doctor/1164643714 >MICHAEL BIRRER </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	AVASTIN;OTHER;TEMODAR;INTRON A;EMEND
$47051.59	<A HREF=https://projects.propublica.org/vital-signs/doctor/1083604219 >DICKEN KO </A>	Urology	<span style=color:black>751 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	THYMOGLOBULIN
$46093.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1275523359 >RAMNIK XAVIER </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$46090.44	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952391260 >TRACY BATCHELOR </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OTHER;AVASTIN;TEMODAR;APTIOM
$45000	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316938665 >CHRISTOPHER STOWELL </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$44893.63	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366423832 >THEOFANIE MELA </A>	Cardiovascular Disease	<span style=color:black>466 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Brand-name prescriber</span>	<span style=color:red>Speaking payment</span>	
$44892.48	<A HREF=https://projects.propublica.org/vital-signs/doctor/1861686230 >KIMBERLY PARKS </A>	Cardiovascular Disease	<span style=color:black>978 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ENTRESTO;CORLANOR
$42792.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1043447592 >DANIEL STEINHAUS </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$42570.94	<A HREF=https://projects.propublica.org/vital-signs/doctor/1619968260 >LEE SCHWAMM </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	TRESIBA;XELJANZ
$41862.87	<A HREF=https://projects.propublica.org/vital-signs/doctor/1457342099 >STEVEN GRINSPOON </A>	Endocrinology, Diabetes & Metabolism	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	EGRIFTA;NORDITROPIN;OTHER;REYATAZ
$41443.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1447240999 >RICHARD PENSON </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	LYNPARZA;NPLATE;AVASTIN;LENVIMA
$40883.61	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639305139 >JOONE CHOI </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	IONSYS
$40579.96	<A HREF=https://projects.propublica.org/vital-signs/doctor/1770566119 >VIJAY YAJNIK </A>	Internal Medicine	<span style=color:black>800 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	GATTEX;TECFIDERA;ENTYVIO;CIMZIA;STELARA
$38130.8	<A HREF=https://projects.propublica.org/vital-signs/doctor/1740270859 >EMERY BROWN </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$37506.12	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831170687 >DAN IOSIFESCU </A>	Psychiatry	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	BREXPIPRAZOLE;LATUDA;SUBSYS;BRINTELLIX
$36988.14	<A HREF=https://projects.propublica.org/vital-signs/doctor/1467442665 >CALUM MACRAE </A>	Cardiovascular Disease	<span style=color:black>291 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ENTRESTO;OTHER
$36734	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285625574 >ROBERT HASSERJIAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	NPLATE;JAKAFI
$36576.7	<A HREF=https://projects.propublica.org/vital-signs/doctor/1730163395 >WILLIAM CURRY </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$34622.31	<A HREF=https://projects.propublica.org/vital-signs/doctor/1326038407 >EPHRAIM HOCHBERG </A>	Medical Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	VYTORIN;KYPROLIS
$33527.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1013999606 >AMITA SHARMA </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$33339.77	<A HREF=https://projects.propublica.org/vital-signs/doctor/1083605547 >FAROUC JAFFER </A>		<span style=color:black>176 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$32891.12	<A HREF=https://projects.propublica.org/vital-signs/doctor/1467643585 >NAZEM ATASSI </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$31802.07	<A HREF=https://projects.propublica.org/vital-signs/doctor/1730160706 >MARVIN ATKINS </A>	Vascular Surgery	<span style=color:black>321 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$31670.81	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699072637 >PRABHAT KUMAR </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	PREVNAR  13
$31283	<A HREF=https://projects.propublica.org/vital-signs/doctor/1982600144 >ANDREW CHAN </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	XELJANZ
$30900	<A HREF=https://projects.propublica.org/vital-signs/doctor/1871550244 >JOHN CLARK </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$30438.72	<A HREF=https://projects.propublica.org/vital-signs/doctor/1811023492 >SUVRANU GANGULI </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$30035.03	<A HREF=https://projects.propublica.org/vital-signs/doctor/1780816660 >CHEE YUAN NG </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ELIQUIS
$29640.71	<A HREF=https://projects.propublica.org/vital-signs/doctor/1225023658 >BRADEN KUO </A>	Gastroenterology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	TECFIDERA;VIBERZI
$29365.25	<A HREF=https://projects.propublica.org/vital-signs/doctor/1306041975 >DEJAN JURIC </A>	Hematology & Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;HALAVEN;AFINITOR
$29226.82	<A HREF=https://projects.propublica.org/vital-signs/doctor/1679564207 >JESSE JUPITER </A>	Orthopaedic Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$28879.09	<A HREF=https://projects.propublica.org/vital-signs/doctor/1912198037 >NADIA AHMAD </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
