#Total payments (2.5yrs)	Name	Specialty	Medicare prescriptions	Drug cost	Brand name?	Speaking payment	Most-prescribed medicare drugs
$33503.36	<A HREF=https://projects.propublica.org/vital-signs/doctor/1811105943 >IGOR BARANI </A>	Radiation Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$29391.24	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316996556 >DANIEL MCDERMOTT </A>	Emergency Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	TEFLARO
$28759.55	<A HREF=https://projects.propublica.org/vital-signs/doctor/1659388338 >TALMADGE KING </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ESBRIET
$25423.91	<A HREF=https://projects.propublica.org/vital-signs/doctor/1356391239 >PRESCOTT WOODRUFF </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	XOLAIR;OTHER;SPIRIVA;UTIBRON
$25192.38	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922064377 >WADE SMITH </A>	Neurology	<span style=color:black>229 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	VIMPAT
$23632.35	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518078443 >DAVID BONOVICH </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	VIMPAT;ACTIVASE;CARDENE IV
$23053.26	<A HREF=https://projects.propublica.org/vital-signs/doctor/1891734497 >MICHAEL MATTHAY </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	OTHER
$22544.35	<A HREF=https://projects.propublica.org/vital-signs/doctor/1245295450 >PHILIP BICKLER </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$22151.64	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316106859 >VIKRAM RAO </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	FYCOMPA;APTIOM
$20011.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1245338649 >CAROLYN CALFEE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$18654.51	<A HREF=https://projects.propublica.org/vital-signs/doctor/1578528170 >ROBERT WACHTER </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$17326.43	<A HREF=https://projects.propublica.org/vital-signs/doctor/1669599197 >ISAAC YANG </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$16975.33	<A HREF=https://projects.propublica.org/vital-signs/doctor/1154751089 >LEILA LAROUSSI </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BRILINTA
$15686.21	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831371020 >ERIC FUH </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ANGIOMAX;ZETIA;VYTORIN
$15560.07	<A HREF=https://projects.propublica.org/vital-signs/doctor/1518025709 >JEFF FINEMAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OPSUMIT MACITENTAN;INOMAX
$15366.57	<A HREF=https://projects.propublica.org/vital-signs/doctor/1205891066 >BORIS BASTIAN </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OTHER;INTRON A;TEMODAR;EMEND;MK-3475
$14469.14	<A HREF=https://projects.propublica.org/vital-signs/doctor/1912954215 >JEREMY LIEBERMAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$13912.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1568427185 >ADRIAN GELB </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	PRECEDEX
$13753.28	<A HREF=https://projects.propublica.org/vital-signs/doctor/1225013923 >KATHLEEN TONG </A>	Internal Medicine	<span style=color:black>2672 </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OPSUMIT MACITENTAN;VELETRI EPOPROSTENOL;VENTAVIS ILOPROST;CORLANOR;ELIQUIS
$13500	<A HREF=https://projects.propublica.org/vital-signs/doctor/1124057922 >MICHAEL KUZNIEWICZ </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$12864.06	<A HREF=https://projects.propublica.org/vital-signs/doctor/1174568927 >S CLAIBORNE JOHNSTON </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BRILINTA
$10795.04	<A HREF=https://projects.propublica.org/vital-signs/doctor/1578616538 >DENA DUBAL </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$9752.17	<A HREF=https://projects.propublica.org/vital-signs/doctor/1609897214 >RONALD CLYMAN </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	INOMAX;HYLENEX
$9013.44	<A HREF=https://projects.propublica.org/vital-signs/doctor/1053354456 >MORTON COWAN </A>	Pediatric Allergy/Immunology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	KOGENATE  FS;HYQVIA;HIZENTRA;PRE-MIX DRUGS AND ONCOLYTICS
$8452.15	<A HREF=https://projects.propublica.org/vital-signs/doctor/1992920649 >RYAN GILL </A>	Anatomic Pathology & Clinical Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$7923.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295969954 >JORGE CASTELLANOS </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ANGIOSCULPT;CORLANOR;REPATHA
$7916.54	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952343113 >ANDREW LEAVITT </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	BENEFIX;XYNTHA;XARELTO;RECOMBINATE;ADVATE
$7749.29	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114982634 >EDMOND EGER </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SEVOFLURANE
$7203.34	<A HREF=https://projects.propublica.org/vital-signs/doctor/1760418230 >KENDRICK SHUNK </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$6792.72	<A HREF=https://projects.propublica.org/vital-signs/doctor/1902040843 >ISAAC WHITMAN </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	CARDIOVASCULAR;XARELTO;PRADAXA;PRAXBIND;BRILINTA
$6776.19	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932142296 >MICHELLE HERMISTON </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ERWINAZE;KYPROLIS
$5634.95	<A HREF=https://projects.propublica.org/vital-signs/doctor/1639404114 >KRISHAN SONI </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ELIQUIS;XARELTO;OPSUMIT MACITENTAN;VELETRI EPOPROSTENOL;VENTAVIS ILOPROST
$5305.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1285865675 >AHMED KHEIWA </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$5209.98	<A HREF=https://projects.propublica.org/vital-signs/doctor/1437117595 >PHILIP URSELL </A>	Anatomic Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$5115.11	<A HREF=https://projects.propublica.org/vital-signs/doctor/1104151984 >ARI MOLOFSKY </A>	Clinical Pathology/Laboratory Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$4931.9	<A HREF=https://projects.propublica.org/vital-signs/doctor/1326077496 >SUJAL NANAVATI </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$4908.22	<A HREF=https://projects.propublica.org/vital-signs/doctor/1114180858 >BRIAN JIAN </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OFIRMEV
$4670.75	<A HREF=https://projects.propublica.org/vital-signs/doctor/1477728103 >AMY GELFAND </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	TV48125
$4223.67	<A HREF=https://projects.propublica.org/vital-signs/doctor/1427090729 >BILJANA HORN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SOLIRIS;MOZOBIL
$3939.93	<A HREF=https://projects.propublica.org/vital-signs/doctor/1902882046 >RANDALL HIGASHIDA </A>	Specialist	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3888.79	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932467065 >KANTI KOLLI </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3861.27	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922421569 >KAISSA DE BOER </A>	Pulmonary Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3794.2	<A HREF=https://projects.propublica.org/vital-signs/doctor/1881652964 >ABUL ABBAS </A>	Anatomic Pathology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3764.62	<A HREF=https://projects.propublica.org/vital-signs/doctor/1104065440 >BAO TRAN </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SAMSCA;XARELTO;PRADAXA;ELIQUIS;CORLANOR
$3749.55	<A HREF=https://projects.propublica.org/vital-signs/doctor/1730289588 >MIGNON LOH </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ERWINAZE;SPRYCEL
$3652.61	<A HREF=https://projects.propublica.org/vital-signs/doctor/1194780775 >CHRIS FREISE </A>	Surgery	<span style=color:black>449 </span>	<span style=color:red>High drug cost</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ZORTRESS;NULOJIX
$3594.37	<A HREF=https://projects.propublica.org/vital-signs/doctor/1255430146 >WILLIAM MENTZER </A>	Pediatric Hematology-Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DEFERIPRONE;FERRIPROX
$3558.65	<A HREF=https://projects.propublica.org/vital-signs/doctor/1538308275 >TARUN ARORA </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3556.97	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366407645 >PATRICIA ROTH </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$3545.39	<A HREF=https://projects.propublica.org/vital-signs/doctor/1316980279 >REBECCA SMITH-BINDMAN </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3431.11	<A HREF=https://projects.propublica.org/vital-signs/doctor/1295767093 >JUDY YEE </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ISOVUE;OMNIPAQUE;OPTISON;VISIPAQUE;OMNISCAN
$3331.78	<A HREF=https://projects.propublica.org/vital-signs/doctor/1568621449 >DUSTYN MARSHALL </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	INTERVENTIONAL WITH PROLIA
$3262.62	<A HREF=https://projects.propublica.org/vital-signs/doctor/1215988563 >PETER CHIN-HONG </A>	Infectious Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$3115.15	<A HREF=https://projects.propublica.org/vital-signs/doctor/1225292154 >JENNIFER DAVENPORT </A>	Pediatric Cardiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OPSUMIT MACITENTAN;TRACLEER BOSENTAN;BRILINTA
$3002.83	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235167511 >LAURA ROBERTSON </A>	Pediatric Cardiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	TYVASO;REMODULIN;ORENITRAM
$2828.62	<A HREF=https://projects.propublica.org/vital-signs/doctor/1932121308 >MARSHA LEE </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	SOLIRIS
$2726.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1649350919 >SCOTT SCHULMAN </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2657.44	<A HREF=https://projects.propublica.org/vital-signs/doctor/1922234681 >NEETA THAKUR </A>	Internal Medicine	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2589.61	<A HREF=https://projects.propublica.org/vital-signs/doctor/1881845766 >MATTHEW AMANS </A>	Neuroradiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2528.21	<A HREF=https://projects.propublica.org/vital-signs/doctor/1053502096 >WILLIAM GUSTAFSON </A>	Pediatric Hematology-Oncology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2511.26	<A HREF=https://projects.propublica.org/vital-signs/doctor/1831153741 >HAROLD CHAPMAN </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2511.09	<A HREF=https://projects.propublica.org/vital-signs/doctor/1346282118 >ERROL LOBO </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	ZEMURON;INVANZ
$2476.17	<A HREF=https://projects.propublica.org/vital-signs/doctor/1174640692 >DANIEL LIM </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2390.51	<A HREF=https://projects.propublica.org/vital-signs/doctor/1619191749 >KAREN BROWN </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DOTAREM GADOTERATE MEGLUMINE INJECTION;ELIQUIS
$2360.19	<A HREF=https://projects.propublica.org/vital-signs/doctor/1841329646 >EDWARD CHANG </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$2109.58	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952345886 >JEANNE LABERGE </A>		<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	DUOPA;ENTYVIO
$2053.24	<A HREF=https://projects.propublica.org/vital-signs/doctor/1902123854 >ROBERT ANGELO </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:red>Speaking payment</span>	
$2032.6	<A HREF=https://projects.propublica.org/vital-signs/doctor/1215971148 >ROBERT KERLAN </A>	Diagnostic Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$2004.95	<A HREF=https://projects.propublica.org/vital-signs/doctor/1366677577 >KANAE MUKAI </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	ELIQUIS;XARELTO;SAMSCA;VYTORIN;ZETIA
$1966.29	<A HREF=https://projects.propublica.org/vital-signs/doctor/1376781575 >VIPUL GUPTA </A>	Cardiovascular Disease	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	PRADAXA;BUTRANS
$1962.11	<A HREF=https://projects.propublica.org/vital-signs/doctor/1952636540 >LUCAS ZIER </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	OPSUMIT MACITENTAN
$1900.5	<A HREF=https://projects.propublica.org/vital-signs/doctor/1699701003 >PRATIK MUKHERJEE </A>	Neuroradiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$1809.02	<A HREF=https://projects.propublica.org/vital-signs/doctor/1962527192 >ROBERT RICHARDSON </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$1787.01	<A HREF=https://projects.propublica.org/vital-signs/doctor/1629329974 >MARIA ROBERTA CILIO </A>	Clinical Neurophysiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	CBD;SUBSYS;SABRIL
$1724.89	<A HREF=https://projects.propublica.org/vital-signs/doctor/1821311358 >JASON BOEHME </A>	Pediatrics	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	INOMAX
$1681.04	<A HREF=https://projects.propublica.org/vital-signs/doctor/1043483191 >BABAK ORANDI </A>	Transplant Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	CINRYZE
$1583.13	<A HREF=https://projects.propublica.org/vital-signs/doctor/1871892091 >JOHN ROLSTON </A>	Student	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$1563.25	<A HREF=https://projects.propublica.org/vital-signs/doctor/1942453618 >FABIO SETTECASE </A>	Vascular & Interventional Radiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$1560.1	<A HREF=https://projects.propublica.org/vital-signs/doctor/1912004664 >MIMI LEE </A>	Anesthesiology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	EXPAREL
$1503.63	<A HREF=https://projects.propublica.org/vital-signs/doctor/1235456476 >CORINNA ZYGOURAKIS </A>	Neurological Surgery	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	
$1469.16	<A HREF=https://projects.propublica.org/vital-signs/doctor/1124239330 >MANU HEGDE </A>	Neurology	<span style=color:black> </span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	<span style=color:green>Nothing unusual</span>	SUBSYS
